values	weights
Jamila-Cecilia	1
Jamila	1
Janina	1
Janne	1
Jaya	1
Jeanne	1
Jesenia	1
Jessika	1
Jihane	1
Joan	1
Joanna	1
Johanne	1
Jolie	1
Jona	1
Joni	1
Jorien	1
Joseline	1
Josepha	1
Josipa	1
JosĂephine	1
Joy	1
Judy	1
Juli	1
Juline	1
Junia	1
Jusra	1
Kadijat	1
Kaia	1
Kailey	1
Kaja	1
Kali	1
Kamie	1
Kamilia	1
Kamillia	1
Kassandra	1
Katalea	1
Katara	1
Katarina	1
Katelynn	1
Keani-Tabea	1
Kelia	1
Khadija	1
Khusama	1
Kia	1
Kiara	1
Kimia	1
Kimyah	1
Kiram	1
Kou	1
Ksenija	1
Lahja	1
Lale	1
Lalie	1
Lamija	1
Lamis	1
Lani	1
Larin	1
Larissa	1
Larita	1
Lauren	1
Laurentia	1
Layalina	1
Layan	1
LaĂŻla	1
Lea-Sophie	1
Lee	1
Lejla	1
Lene	1
Lenia	1
Leo	1
Leona	1
Leoni	1
Leonora	1
Leonore	1
Leticia	1
Levija	1
Liara	1
Libby	1
Lielle	1
Liese	1
Lieselotte	1
Liev	1
Lieve	1
Lija	1
Lilas	1
Lili-Marleen	1
Lilien	1
Lilijana	1
Lille	1
Lillie	1
Lillith	1
Lilo	1
Lima	1
Line	1
Linea	1
Lioba	1
Liona	1
Lise	1
Liva	1
Liya-Sara	1
Liyn	1
Liz	1
Lluna	1
Lora	1
Lore	1
Lorena	1
Lua	1
Lubna	1
Luciana	1
Lucie	1
Lucile	1
LucĂ­a	1
Lujain	1
Lula	1
Lumi	1
Lura	1
Lya	1
Lydia	1
Lyelle	1
Lynn	1
LĂeana	1
LĂena	1
LĂ­adan	1
Madhu	1
Madina	1
Maeve	1
Mahima	1
Mahira	1
Mai-Lilly	1
Majla	1
Mala	1
Malak	1
Malika	1
Malin	1
Malisha	1
Maliya	1
Mandy	1
Manelle	1
Manisa	1
Marcelina	1
Mareile	1
Marfa	1
Margarete	1
Margot	1
Mariana	1
Marieke	1
Marija	1
Marilyn	1
Marisa	1
Marit	1
Marleen	1
Marlie	1
Marly	1
MarlĂ¨ne	1
Masha	1
Massa	1
Mava	1
Mavi	1
Mavie	1
Mavisu	1
Maxie	1
Maximiliane	1
Mayacin	1
Mayar	1
Mayla	1
Mayumi	1
Mayvi	1
MaĂelie	1
MaĂ«lis	1
Medina-Fadia	1
Medine	1
Meiva	1
Meliah-Amara	1
Meliah	1
Melis	1
Meliya	1
Melody	1
Mera	1
Meral	1
Merjem	1
Meyra	1
