values	weights
 Korte	3893
 Clemens	3889
 Schöne	3881
 Ulbrich	3874
 Kretzschmar	3870
 Bartel	3860
 Vogl	3855
 Ruppert	3855
 Wagener	3852
 Burmeister	3842
 Nitschke	3838
 Heinen	3833
 Stiller	3829
 Amann	3823
 Hampel	3821
 Lohse	3812
 Hofer	3809
 Scheer	3800
 Schwarzer	3800
 Krieg	3793
 Schleicher	3793
 Roos	3793
 Hornung	3793
 Rehm	3790
 Lampe	3789
 Küster	3784
 David	3782
 Trapp	3777
 Alt	3775
 Henze	3769
 Lehnert	3760
 Zink	3758
 Rößler	3757
 Späth	3750
 Hafner	3746
 Schuh	3747
 Oppermann	3744
 Klatt	3743
 Menke	3738
 Seemann	3737
 Daniel	3734
 Steinert	3730
 Schweitzer	3729
 Diekmann	3724
 Grundmann	3714
 Wolters	3709
 Mader	3704
 Grau	3692
 Pfeffer	3691
 Wilde	3670
 Bosch	3670
 Veit	3670
 Pfister	3669
 Buschmann	3658
 Sachs	3653
 Tietz	3650
 Heider	3630
 Reiß	3629
 Steinke	3625
 Reinke	3622
 Otten	3620
 Kolbe	3618
 Loos	3617
 Kühnel	3614
 Wendel	3614
 Gläser	3611
 Brendel	3611
 Eisele	3610
 Behnke	3608
 Frick	3601
 Baumgart	3591
 Orth	3591
 Riemer	3590
 Schwabe	3582
 Bischof	3580
 Horst	3579
 Heckmann	3576
 Kastner	3575
 Ostermann	3574
 Stange	3568
 Kirschner	3566
 Petri	3556
 Schüller	3554
 Baumeister	3549
 Reitz	3545
 Brüning	3544
 Ebner	3540
 Becher	3527
 Schweiger	3519
 Brandes	3517
 Hagedorn	3511
 Rühl	3511
 Süß	3505
 Schmidtke	3499
 Seibert	3495
 Heyer	3495
 Jacobi	3490
 Kleine	3488
 Janzen	3488
 Kock	3484
 Baumgärtner	3483
 Ewald	3472
 Knobloch	3470
 Eckstein	3456
 Büchner	3453
 Wörner	3450
 Fritsche	3447
 Cremer	3446
 Stamm	3443
 Ehlert	3444
 Helm	3439
 Weinert	3433
 Kling	3428
 Wieczorek	3428
 Muth	3424
 Hager	3418
 Kersten	3413
 Fürst	3404
 Schell	3403
 Grund	3401
 Pabst	3400
 Thies	3397
 Schauer	3397
 Heuser	3395
 Schatz	3392
 Backhaus	3385
 Keck	3384
 Michael	3383
 Niemeyer	3374
 Böttger	3369
 Volkmann	3369
 Rode	3368
 Apel	3367
 Schwartz	3365
 Widmann	3358
 Weiland	3356
 Neu	3356
 Budde	3352
 Bastian	3351
 Gehrmann	3348
 Hacker	3344
 Wilms	3342
 Buchner	3341
 Spies	3328
 Berthold	3322
 Burghardt	3313
 Merten	3307
 Hermes	3306
 Cramer	3304
 Mende	3301
 Kowalski	3293
 Pauli	3292
 Hanisch	3291
 Kugler	3287
 Wulff	3287
 Scheller	3284
 Gottwald	3279
 Ortmann	3271
 Jonas	3268
 Ebeling	3263
 Rahn	3261
 Stern	3260
 Reiser	3257
 Häusler	3248
 Sachse	3248
 Heidrich	3245
 Herr	3243
 Rösler	3241
 Lukas	3240
 Mahler	3240
 Kübler	3239
 Hille	3235
 Löhr	3235
 Doll	3235
 Spindler	3233
 Jakobs	3232
 Schultze	3231
 Frisch	3229
 Hardt	3224
 Seidler	3221
 Körber	3221
 Lerch	3219
 Johannsen	3219
 Eckardt	3218
 Adams	3213
 Hamm	3212
 Heidenreich	3212
 Köhn	3210
 Küpper	3209
 Tiedemann	3208
 Baumgarten	3206
 Hannemann	3207
 Scheel	3201
 Eilers	3200
 Schaper	3197
 Grün	3195
 Haack	3190
 Enders	3189
 Thiemann	3185
 Hölscher	3182
 Gehring	3178
 Schiffer	3176
 Mühlbauer	3173
 Dieckmann	3172
 Zeidler	3170
 Reinecke	3166
 Ebel	3159
 Pahl	3159
 Brück	3157
 Kreuzer	3156
 Raabe	3153
 Kunert	3153
 Schaub	3143
 Lauterbach	3136
 Bräuer	3128
 Schröer	3120
 Volz	3117
 Resch	3113
 Henn	3112
 Herz	3110
 Krohn	3108
 Petry	3106
 Seibel	3104
 Bormann	3101
 Hillebrand	3097
 Berner	3094
 Paulsen	3096
 Knauer	3091
 Grabowski	3080
 Welsch	3079
 Grünewald	3072
 Hack	3066
 Rogge	3063
 Brehm	3063
 Lorenzen	3058
 Ehrlich	3053
 Rupprecht	3051
 Meurer	3050
 Reis	3043
 Kaya	3038
 Bolz	3037
 Drechsler	3031
 Kellermann	3028
 Sommerfeld	3028
 Hill	3028
 Grube	3022
 Thelen	3021
 Grunwald	3016
 Stratmann	3016
 Morgenstern	3014
 Ahlers	3012
 Ochs	3011
 Ewert	3006
 Reimers	3006
 Kleinert	2994
 Wüst	2986
 Wächter	2982
 Jaeger	2977
 Friedl	2971
 Palm	2965
 Fichtner	2965
 Kratz	2956
 Boldt	2953
 Andres	2945
 Kummer	2945
 Lüdtke	2940
 Obermeier	2939
 Hoch	2935
 Hoff	2935
 Dietze	2931
 Schuhmacher	2928
 Petermann	2926
 Metzner	2919
 Emmerich	2919
 Homann	2917
 Exner	2916
 Zorn	2914
 Bucher	2913
 Büscher	2911
 Clausen	2910
 Hopp	2905
 Reif	2898
 Dreier	2897
 Finger	2893
 Wendler	2891
 Küppers	2890
 Buchmann	2887
 Heidemann	2887
 Sailer	2886
 Habermann	2878
 Backes	2878
 Hollmann	2878
 Reichardt	2877
 Siegert	2874
 Struck	2872
 Christiansen	2866
 Weiser	2864
 Spengler	2865
 Sahin	2862
 Hopf	2851
 Fiebig	2851
 Friese	2851
 Bähr	2850
 Rasch	2846
 Heger	2842
 Rieck	2841
 Kießling	2840
 Henrich	2839
 Aust	2838
 Kästner	2835
 Zöller	2830
 Fey	2828
 Schreier	2830
 Mangold	2819
 Weigand	2819
 Borchers	2817
 Wessels	2816
 Fleck	2813
 Lücke	2813
 Rauscher	2811
 Armbruster	2810
 Tillmann	2807
 Oertel	2802
 Franzen	2798
 Maul	2796
 Möbius	2794
 Hinze	2791
 Boos	2777
 Siegmund	2777
 Holzapfel	2776
 Rohr	2774
 Henschel	2774
 Töpfer	2772
 März	2772
 Arlt	2770
 Linder	2768
 Schacht	2760
 Klee	2759
 Bäcker	2756
 Christmann	2754
 Deutsch	2752
 Rückert	2751
 Merk	2751
 Hermanns	2750
 Rösner	2748
 Härtel	2746
 Waldmann	2739
 Metzler	2733
 Rüdiger	2732
 Rein	2728
 Kleinschmidt	2721
 Rosenthal	2720
 Lehr	2715
 Goebel	2715
 Gräf	2714
 Bruhn	2714
 Stöcker	2712
 Bosse	2711
 Rosenberger	2711
 Celik	2710
 Wilken	2702
 Demir	2704
 Daum	2699
 Wallner	2697
 Wilkens	2694
 Rosenkranz	2688
 Fabian	2683
 Kammerer	2682
 Freese	2682
 Sell	2680
 Röhrig	2678
 Steinberg	2675
 Raschke	2672
 Zöllner	2671
 Steinmann	2669
 Weigelt	2668
 Georgi	2665
 Friedel	2660
 Steiger	2656
 Marschall	2651
 Reinert	2646
 Künzel	2646
 Wortmann	2641
 Wurm	2641
 Landgraf	2640
 Holst	2640
 Holzer	2638
 Gerhard	2635
 Poppe	2633
 Aigner	2626
 Kuhl	2625
 Butz	2620
 Spiegel	2617
 Hubert	2616
 Wachter	2616
 Jäckel	2616
 Andresen	2614
 Eck	2614
 Ertl	2610
 Kober	2603
 Markert	2601
 Bauch	2597
 Schmieder	2593
 Fromm	2591
 Lachmann	2589
 Schönberger	2587
 Bothe	2587
 Groh	2582
 Luft	2579
 Hülsmann	2577
 Pfeil	2574
 Schäffer	2574
 Baron	2571
 Jakobi	2571
 Weinmann	2567
 Hain	2565
 Nitsch	2561
 Holzmann	2555
 Steger	2554
 Marks	2552
 Stolle	2547
 Färber	2545
 Aydin	2546
 Englert	2543
 Buhl	2545
 Edelmann	2539
 Löw	2536
 Reese	2532
 Giesen	2531
 Klink	2524
 Lübke	2524
 Schüßler	2522
 Sasse	2522
 Schönherr	2521
 Timmermann	2520
 Laux	2518
 Mücke	2518
 Grüner	2517
 Strobl	2510
 Trost	2509
 Hörmann	2508
 Maus	2502
 Gröger	2499
 Stegemann	2496
