values	weights
Arad	1
Aram	1
Aras-Taha	1
Ardiol	1
Ares	1
Aria	1
Ariel	1
Arif-Jassim	1
Arlo	1
Aroko	1
Artas	1
Artun	1
Arvid	1
Asger	1
Aslan	1
Atakan	1
Aurel	1
Aureliano	1
Aurelio	1
Avgoustinos	1
Aviel	1
Avir	1
Avram	1
Avriel	1
Axel	1
Aykan	1
Ayman	1
Baki	1
Bakr	1
Balduin	1
Baris	1
Bartosz	1
Basil	1
Bassam	1
Bastian	1
Batinali	1
Bengt	1
Benki	1
Benno	1
Berat	1
Berk	1
Berkay	1
Bilal	1
Billal	1
Birk	1
Bjarne	1
BjĂ¶rn	1
Blix	1
Bora	1
Boran	1
Boris	1
Bosse	1
Caio	1
Camilo	1
Can	1
Castiel	1
Cecil	1
Cenan	1
Cengiz	1
Cenk-Taylan	1
Charles	1
Charly	1
Chedjouo	1
Cheik-Moussa	1
Chimezirim	1
Christian	1
Christiano	1
Cihad	1
Cinar	1
Clara	1
Clemens	1
Collin	1
Connor	1
Conrad	1
Corvin	1
Curt	1
Cyrus	1
Dachi	1
Damian-Levi	1
Damien	1
Damir	1
Dan	1
Danial	1
Dann	1
Danyal	1
Dariel	1
Daris	1
Darren	1
Dashin	1
Dastan	1
Davin	1
Dayan	1
Destan	1
Devran	1
Devrim	1
Dian	1
Dias	1
Dijan	1
Dijar	1
Dimitrios	1
Dion-Jackson	1
Dion	1
Dior	1
Djibril	1
Dmitry	1
Do	1
Dominic	1
Dominique	1
Dorian	1
Drin	1
Duha	1
DuĹˇan	1
Dzevad	1
Eddi	1
Eddy	1
Ede	1
Edin	1
Edis	1
Eduard	1
Edward	1
Ege	1
Egon	1
Ekin	1
Eligh-Jan	1
Elijas	1
Eliyan	1
EliĂˇn	1
EliĂ˛n	1
Eljas	1
Elliot	1
Elliott	1
Elmar	1
Elon	1
Elouan	1
Elvin	1
ElĂ­as	1
Emanuel	1
Emil-Luis	1
Emileo	1
Emin	1
Emirhan	1
Emmeth	1
En	1
Enea	1
Eneas	1
Eneko	1
Ener	1
Enes	1
Ennio	1
Enrico	1
Eo	1
Erasmus	1
Erdi	1
Eric	1
Erjon	1
Ernesto	1
Erol	1
Eros	1
ErtuÄźrul	1
Erwin	1
Ethan	1
Evan	1
Eviatar	1
Eyoel	1
Ezio	1
Fahd	1
Falah	1
Fanuel	1
Farhan	1
Faris	1
Feivel	1
Felician	1
Fenno	1
Feri	1
Filou	1
Finian	1
Finnian	1
Fio	1
Fjell	1
Floki	1
Francisc	1
Francisco	1
Frane	1
Frank	1
Fred	1
Freddi	1
Freddie	1
Fridolin	1
Frieder	1
Fritz	1
FĂˇbio	1
Gabrijel	1
Gaspar	1
Gene	1
George-Luca	1
George	1
Giobbe	1
Gioele	1
Giorgi	1
Giovanni	1
Giuliano	1
Giulio	1
Gregor	1
Grigorij	1
Guilherme	1
Guim	1
GĂ¶khan	1
Hagen	1
Haidar	1
Haki	1
Halit	1
Hamza-Abbas	1
Hardhik	1
Haro	1
Haroun	1
Harry	1
Haru	1
Hasan	1
Hassan	1
Haydar	1
Helio	1
Heming	1
Hendrik	1
Henk	1
Henning	1
Henrick	1
Hillel	1
HoĂ ng	1
Husam	1
Hussain	1
HĂĽseyin	1
Ian	1
Ianto	1
Iasonas	1
Ichiro	1
Ida	1
Idrissa	1
Igor	1
Ihlas	1
Ilan	1
Imad	1
Iman	1
Imano	1
Io	1
Ioan	1
Ioannis	1
Isaac	1
Ishak	1
Ismail	1
Ismet	1
Issmail	1
Ivan	1
Ivar	1
Ä°lay	1
Ä°sa	1
Jaelim	1
Jahn	1
Jali	1
Jamal-Pendo	1
Janick	1
Jano	1
Jarik	1
Jason	1
Jean-Luc	1
Jean	1
Jesko	1
Jesper	1
Jibrail	1
Jim	1
Jiyang	1
Joaquim	1
Jon	1
Jonne	1
Joon	1
Joos	1
Jordan	1
Jorn	1
Joryan	1
Joseph	1
Joud	1
Jovis	1
JoĂel	1
Juan	1
Julien	1
Julio	1
Junoh	1
Jurek	1
Jusuf	1
Kaelo	1
Kai	1
Kalle	1
Kaloyan	1
Kaml	1
Karan	1
Karol	1
Kasem	1
Kayra	1
Keke	1
Kemal	1
Kengerzer	1
Kerim	1
Kern	1
Kevin	1
Kiano	1
Kianu	1
Kieran	1
Kiko	1
Kimi	1
Kirill	1
Koa	1
Kouhyar	1
Kubilay	1
Kurt	1
Laith	1
Lasse	1
Laurenzio	1
Laurenzo	1
Lauritz	1
Layf	1
Layn	1
Ledijon	1
Leif	1
Lejan	1
Lemuel	1
Leonas	1
Leonel	1
Lesharo	1
Levio	1
Lewin	1
Leys	1
Lien	1
Lijan	1
Liko	1
Lillo	1
LimĂłn	1
Lino	1
Lior	1
Liron	1
Lito	1
Livan	1
Loay	1
Lode	1
Loki	1
Loran	1
Lorian	1
Louan	1
Louie	1
Loukas	1
Loup	1
LouĂ­s	1
Love	1
LoĂŻc	1
Luiz	1
Lukian	1
Lyes	1
Lynel	1
LĂˇszlĂł	1
LĂeon	1
LĂ¸ve	1
Maddox	1
Mahdi	1
Mahmud	1
Mahor	1
Maik	1
Mailo	1
Maksym	1
Malik-Muhammet	1
Malio	1
Mamoru	1
Marcel	1
Marcello	1
Marco	1
Marino	1
Marios	1
Marius	1
Markos	1
Maro	1
Marten	1
Mate	1
Mathis	1
MathĂeo	1
Mattis	1
Matyas	1
Maurice	1
Maximilian-Xavier	1
Maxnell	1
Maxwell	1
Mayon	1
Mehdi	1
Mehlian	1
MelikČ™ah	1
Melquisedec	1
Merlin	1
Mete	1
Metin	1
Mica	1
Michel	1
Mikah	1
Mikis	1
Mikkel	1
Miko	1
Milot	1
Minh-Ilyas	1
Minu	1
Mir	1
Mirac	1
Miriam	1
Mirza	1
Mithat	1
Mochlis	1
Mohamad	1
Mohamed	1
Mohammed-Ali	1
Mohammet	1
Momo	1
Moritz-Mounir	1
Mouhib	1
Muhammed-Ali	1
Muhsin	1
Murat	1
Mustafa	1
MĂ˘hir	1
Nabu	1
Naim-Malek	1
Naim	1
Nassim	1
Naum	1
Nayel	1
Nerio	1
Nero	1
Neven	1
Nicholas	1
Nickel	1
Nicklas	1
Niclas	1
Nidal	1
Niek	1
Niel	1
Niels	1
Nihat	1
Nikan	1
Nikodem	1
Nikolai	1
Nil	1
Nilan	1
Nilas	1
Noe	1
Noian	1
Nolan	1
Nor	1
Norik	1
Nouri	1
Nurian	1
Nurko	1
Oday	1
Olivier	1
Oluwatofunmi	1
Omar-Khattab	1
Onema	1
Ongil	1
Onno	1
Orestis	1
Orlando	1
Orson	1
Oskar-Anton	1
Ozan	1
Pablo	1
Panagiotis	1
Paolo	1
Paris	1
Pars	1
Patrick	1
Pau	1
Pawel	1
Pedro	1
Petrus	1
Phil	1
Phileas	1
Philemon	1
Phill	1
Phineus	1
Phoenix	1
Pino	1
Poyraz	1
Puyan	1
Quang	1
Quinn	1
Radek	1
Rafaelle	1
Rafie	1
Raik	1
Ramiz	1
Ratmir	1
Raviyar	1
Ray	1
RaĂşl	1
Refael	1
Reto	1
Reyan	1
Ricardo	1
Riccardo	1
Rion	1
Rishi	1
River	1
Robeen	1
Robin-Yaman	1
Rodrik	1
Roger	1
Rohan	1
Rokko	1
Roman	1
Romeo	1
Rory	1
Rumi	1
Said	1
Sajed	1
Sali	1
Sam	1
Samet	1
Samir	1
Samu	1
Samy	1
Sayaan	1
Sejfo	1
Sejun	1
Selim	1
Semion	1
Sencer	1
Seon	1
Sepehr	1
Severin	1
Seyit	1
Seyon	1
Sezan	1
Shiyan	1
Silas	1
Sina	1
Sinkoun	1
Sofian	1
Sofjan	1
Sonay	1
Soner	1
Sophia	1
Stefano	1
Sultan	1
Sun	1
SÄ±raĂ§	1
Taavi	1
Tadeo	1
TadeĂˇĹˇ	1
Talis	1
Tamino	1
Tamme	1
Tammo	1
Tansel	1
Tayari	1
Tayo	1
Taysir	1
Teddy	1
Teresa	1
ThaddĂ¤us	1
Thanh-Nam	1
Thiago	1
Thio	1
ThĂeo	1
Tiberio	1
Til	1
Timm	1
Timofey	1
Tino	1
Tjark	1
Tobias	1
Tommaso	1
Tonio	1
Tonna	1
Tony	1
Torge	1
Trim	1
Troi	1
TuÄźra	1
Tyga	1
Ulan	1
Ulises	1
Umut	1
Umutcan	1
Unik	1
ValentĂ­n	1
Vasile	1
Veli	1
Veysel	1
Vicco	1
Viggo	1
Ville	1
Vito	1
Vittorio	1
Vitus	1
Viyan	1
Vlad	1
VĹe	1
Wanja	1
Whard	1
Wiaam	1
Wilder	1
Wilhelm	1
Willi	1
Wim	1
Wissam	1
Wolf	1
Woody	1
Wotan	1
Wylder	1
Yahya	1
YamaĂ§	1
Yamim	1
Yanis	1
Yann	1
Yannik	1
Yashvan	1
Yasser	1
Yaz	1
Yazan	1
YiÄźit	1
Yohannes	1
Yoko	1
YoldaĹź	1
Yonatan	1
Yorek	1
York	1
Yosef	1
Youcef	1
Younes	1
Younis	1
Youniss	1
Yousaf	1
Youssef	1
Yunes	1
Yunis	1
Yuri	1
Yusef	1
Yussuf	1
Yuthana	1
Yuval	1
YuĹźa	1
Zaichao	1
Zaid	1
Zakaria	1
Zaki	1
Zavier	1
Zeljko-Alessio	1
Zen	1
Zeno	1
Zeryab	1
Zidar	1
Zion-Njoroge	1
Ziyad	1
Zoran	1
Ăngel	1
Ăron	1
Ă‡inar	1
Ĺžerwan	1
Abdelsattar	1
Abdulkarem	1
Abdulwahed	1
Abit	1
Ada	1
Adiwilaga	1
Admir	1
Aeneas	1
Ahmad	1
Ahmed	1
Aidan	1
AimĂe	1
Aiven	1
Akande	1
Akusinachi	1
AkÄ±n	1
Alasdair	1
Alaz	1
Aleksandr	1
Aleksy	1
Alexandre	1
AlexandroviÄŤ	1
Alexey	1
Alfie	1
Alhobab	1
Alihan	1
Almar	1
Alvin	1
AmadĂe	1
Amanuel	1
Amato	1
An	1
Andrei	1
Andrzej	1
AndrĂes	1
Anh-Tuan	1
Anh	1
Ansgar	1
Anti	1
Antoine	1
Antoni	1
Ar	1
Ares	1
Ari	1
Aria	1
Arif	1
Aris	1
Arlo	1
Armando	1
Arne	1
Aron	1
Arti	1
ArtĂ«moviÄŤ	1
Arye	1
Asim	1
Atticus	1
Auguste	1
Augustin	1
Augustinus	1
Aviv	1
Awni	1
Ayaz	1
Azad	1
Azamatuli	1
Azim	1
Aziz	1
Bahri	1
Balthasar	1
Balthazar	1
Baptiste	1
Bartosz	1
Bastian	1
Bekir	1
Belchior	1
Bendix	1
Benji	1
Bennett	1
Benny	1
Bernhard	1
Bijan	1
Bilal	1
Bille	1
Bjarne	1
BjĂ¶rn	1
Blake	1
Bo	1
Bodhi	1
Boubou	1
Brewster	1
BĂ¬nh	1
BĂł	1
Cahit	1
Caillou	1
Cami	1
Camill	1
Carmelo	1
Chesley	1
Ciro	1
Claus	1
Clay	1
Colin	1
Cornelis	1
Cornelius	1
CĂesar	1
Dae-Ho	1
Danyal	1
Daviel	1
Davit	1
Dayala	1
Dengiz	1
Detlef	1
Devin	1
Dewran	1
Dirk	1
Djibril	1
Domenico	1
Dominic	1
Dominik	1
Doninik	1
Dorian	1
Doron	1
Drago	1
Dustin	1
Eathan	1
Eden	1
Efe	1
Efran	1
Ege	1
Egon	1
EgoroviÄŤ	1
Eitan	1
Ejike	1
Eli	1
Eliah	1
Elian	1
Eliano	1
Elija	1
Elijah	1
Elino	1
Eliseo	1
Elliot	1
Elmar	1
Elouan	1
Elvis	1
Elyar	1
Emanuele	1
Emile	1
Emiliano	1
Emmanuel	1
Enea	1
Ensar	1
Erasmus	1
Erdem	1
Erich	1
Erim	1
Ernest	1
Ernesto	1
Erwin	1
Eser	1
Espen	1
Esref	1
Eunho	1
Even	1
Everett	1
Evrard	1
Eymen	1
Falak	1
Farid	1
Fatih	1
Federico	1
Ferdi	1
Feridoun	1
Ferris	1
Fethi	1
Fidel	1
Filip	1
Filippo	1
Fin	1
Finnegan	1
Fionn	1
Fitzgerald	1
Fljora	1
Florian	1
Fosu	1
Franciszek	1
Fred	1
Frederic	1
Fredrik	1
Frido	1
Frieder	1
Gabriele	1
Gad	1
Gediz	1
Georges	1
Georgi	1
Georgios	1
Gerard	1
Gianluca	1
Gianni	1
Gil	1
Gino	1
Giorgio	1
Giuliano	1
Gottier	1
Goziem	1
Guido	1
Gunter	1
GĂĽven	1
Haim	1
Halil	1
Hamza	1
Hanefi	1
Hanno	1
Hans-Harald	1
Hanyani	1
Hariz	1
Harry	1
Harvey	1
Hassan	1
Hatem	1
Hayato	1
Hayri	1
Hektor	1
Helga	1
Hemmi	1
Henning	1
Hesham	1
Hieronymus	1
Hilma	1
Hussain	1
Hussein	1
Huxley	1
Há»•ng	1
Ian	1
Idris	1
Ignacio	1
Ikenna	1
Ilan	1
Ilias	1
Ill'iÄŤ	1
Ilo	1
Imre	1
Inan-Azad	1
Inyoman	1
Ioanis	1
Ira	1
Irfan	1
Isaac	1
Isaias	1
Isayah	1
Ishaan	1
Issa	1
Ivan	1
Jacob	1
Jacques	1
Jakoub	1
Jakub	1
Jamal	1
James	1
Jamie	1
Janko	1
Janne	1
Jannes	1
Jannick	1
Jano	1
Jarik	1
Jarne	1
Jaron	1
Jascha	1
Jason	1
Javier	1
Jayden	1
Jaydon	1
Jean	1
Jedd	1
Jeffrey	1
Jerzy	1
Jibril	1
Jidenna	1
Joel	1
John	1
Johnny	1
Jolyon	1
Jomia	1
Jona	1
Jonte	1
Joschua	1
Joud	1
Jules	1
Julien	1
Jullyan	1
Junior	1
Jurek	1
JĂ¶rg	1
Kai	1
Kaim	1
Kamer	1
Kamil	1
Karel	1
Karim	1
Kartal	1
Kartikeya	1
Kei	1
Keke	1
Kenan	1
Kerem	1
Kieran	1
Kilian	1
KirilloviÄŤ	1
Klaas	1
Kofi	1
Korbinian	1
Kristijan	1
Krystian	1
Kuan	1
Kuzey	1
Kwan	1
Lando	1
Lavi	1
Lebogang	1
Leigh	1
Lemar	1
Len	1
Lenardt	1
Lennox	1
Lente	1
Leone	1
Leonid	1
Leroy	1
Leto	1
Lev	1
Levy	1
Lewon	1
Lieven	1
Lijan	1
Lino	1
Linus	1
Lion	1
Lior	1
Liyan	1
LiĂŞm	1
Lois	1
Loran	1
Lorenz	1
Lorenzo	1
Lothar	1
Lucio	1
Lugman	1
Luigi	1
Luka	1
Lukas	1
Lukasson	1
Madiba	1
Mahammad	1
Mahfoud	1
Mahir	1
Mahmoud	1
Maksymilian	1
Manfred	1
ManĂ­	1
Maria	1
Marinus	1
Mario	1
Mark	1
Markus	1
Marlin	1
Marlon	1
Matei	1
Matej	1
Mateusz	1
Matheo	1
Mathias	1
Matti	1
Maurizio	1
Mawuli	1
Medet	1
Mehmed	1
Melik	1
Menua	1
Mercedes	1
Metih	1
Michel	1
Mika	1
Mikail	1
Milad	1
Milas	1
Minh	1
MiraĂ§	1
Mitja	1
Mohammed	1
Monte	1
Moses	1
Moyo	1
Muchtar	1
Murat	1
Nagm	1
Nahid	1
Nam	1
Nanouk	1
Nathan	1
Nattawat	1
Natthan	1
Naveen	1
Navid	1
NaĂ«l	1
Neal	1
Nelio	1
Nelson	1
Nessim	1
Nháş­t	1
Nicolo	1
Nikola	1
Nima	1
Nino	1
Noa	1
Nouri	1
NoĂe	1
NoĂ«l	1
Odhiambo	1
Olaf	1
Oliver	1
Olivier	1
Oluwafirefunmi	1
Onni	1
Osman	1
Ove	1
Oz	1
Paavo	1
Pascal	1
Pasquale	1
Patric	1
Patrick	1
PavloviÄŤ	1
Pedro	1
Peer	1
Pepe	1
Per	1
Phan	1
Pharell	1
Pharez	1
Phi	1
Philip	1
Philippe	1
Phillip	1
Poyraz	1
Qasim	1
Quang	1
Quinn	1
Rae	1
Raffael	1
Rafiou	1
Rai	1
Raiko	1
Ramiro	1
