values	weights
MATSVEI	208
ÖMER	208
JAROSLAV	208
DAMAZY	207
VLADIMER	207
MIKOLAJ	205
EUGENIU	205
GHENADIE	204
OMRI	203
OSMAN	203
GAL	202
TEMUR	202
BARYS	202
FIODOR	201
HEKTOR	200
STEPHAN	200
TAMAZ	199
HAMZA	198
DOMENICO	198
ALVARO	196
URI	196
LOTAR	196
MAXIMILLIAN	196
GERALD	196
GUIDO	196
KAKHA	196
ARMANDO	196
EVGHENI	195
IDAN	195
SAJMON	195
ROMEO	195
KOSTYANTYN	194
WILLI	194
KHALED	194
ADRIANO	194
DACJAN	194
LIOR	193
ENRIQUE	193
MIŁOSŁAW	192
DONALD	192
SAID	192
JAIME	191
TIAGO	191
VITAL	191
YULIAN	191
ARSENI	190
ARAM	190
TONY	190
MINH	190
ANIL	190
GIVI	189
FARID	189
ULRICH	188
KENNETH	187
NIKOS	187
JOHAN	187
RENÉ	187
CARL	185
VALENTINO	185
RENAT	185
URBAN	185
LUCIANO	185
MIKAEL	184
KILIAN	183
IGNACIO	183
GUILLAUME	183
BARNABA	183
ILAN	182
PAWEL	181
DYONIZY	181
GIGA	181
RENATO	181
NICOLÁS	180
LAURENT	179
CEZAR	178
EGON	178
MERAB	177
KHVICHA	177
SCOTT	177
MUSA	177
YEVGENIY	177
RAMAZ	176
EMILIO	175
JANIS	174
ERAN	174
MAURICIO	173
FRANCO	173
OR	173
OTTON	173
DAMIEN	173
ASLAN	173
PLATON	173
GUILLERMO	172
LUCJUSZ	172
MURAD	172
LYUBOMYR	172
GIACOMO	172
AKAKI	171
KONSTANTYN	171
RAMIN	171
ADNAN	171
HAKAN	171
TAREK	171
LOGAN	170
DMITRIY	170
KAMAL	170
IBRAGIM	169
MARVIN	169
DANILA	169
TIMO	167
RADU	167
DUSTIN	167
TENGIZ	167
TONI	167
JANISŁAW	167
MILO	166
ASAF	166
HENRIK	165
ILIAS	165
MAGNUS	165
SATURNIN	165
WŁADIMIR	165
THEODORE	164
TUDOR	164
DRAGAN	164
ALEXANDROS	164
ELVIN	164
GRYGORII	163
ADRIEN	163
NILS	163
GIL	162
ASHOT	162
GEORGII	161
RAN	161
YANN	160
GURAM	160
TIGRAN	160
ZVI	160
ALAIN	160
MARSEL	160
YASIN	159
GUSTAV	159
ROLF	159
YONATAN	158
SIEGFRIED	158
TOMMY	158
EMANUELE	158
ALISHER	157
DIETMAR	157
JULIO	157
LOTHAR	157
GIANLUCA	157
FILIPPO	157
QUANG	156
BERNARDO	156
ENZO	156
EVAN	156
RAHUL	156
YUNUS	155
RYHOR	155
ZORAN	154
EMIN	154
THEODOR	154
ALEXIS	153
ZAUR	153
SHAY	153
ITAMAR	153
STSIAPAN	152
MELCHIOR	152
BILAL	152
AVRAHAM	152
WENANCJUSZ	152
VAKHTANG	151
CHRIS	151
RAYMOND	151
NODAR	151
MARCJAN	151
MD	150
CHARLIE	150
MASSIMILIANO	150
ADEL	150
DANNY	150
ADEM	150
NIKLAS	149
ILIE	149
SERGO	149
VĂN	149
XAWIER	149
DAROSŁAW	149
ARIE	148
GASPAR	148
DAREK	148
AMIN	148
SŁAWOJ	148
MARKIIAN	148
KHALID	148
CHAIM	147
ERNST	147
KYLE	147
DOMINIQUE	146
BESIK	146
GENNADIY	146
DITMAR	145
HEORHI	145
GEVORG	144
GABOR	144
EDVARD	144
JASPER	144
AMIRAN	143
JULIUS	143
DIMITAR	143
RAMAZAN	142
AKSEL	142
WEI	142
PETAR	142
PYLYP	142
SAMVEL	142
THIAGO	142
BERTOLD	140
THANH	140
RAFFAELE	140
ANASTAZY	140
SŁAWOSZ	140
JAREK	140
JACQUES	140
TOMMASO	139
LEANDRO	139
ANAR	139
TSIMUR	139
GIORGIO	139
RAMIL	139
ARCHIL	138
NEIL	138
IOAN	138
MARIANO	138
GABRYEL	138
GERMAN	138
ANDRIJ	138
ORLANDO	138
ELAD	138
ISMAEL	137
AZIZ	137
FREDERICK	137
JUN	137
ANTEK	136
FIODAR	136
DEZYDERIUSZ	136
CAN	136
SÉBASTIEN	136
YOSEF	135
DARIAN	135
OREN	135
LILIAN	135
GERD	135
OTAR	135
SHLOMO	135
VENIAMIN	135
FATIH	135
HUNG	134
ISA	134
JIŘÍ	134
ABRAM	134
NUGZAR	134
JESUS	134
KOSTAS	134
WILIBALD	134
ORKHAN	133
WALID	133
MARCELLO	133
LIONEL	132
MAJKEL	132
MATAN	132
ZENOVII	132
HENDRIK	132
STEFFEN	132
IVANE	132
ATTILA	131
EVGHENII	131
MILOŠ	131
EITAN	131
MUHAMMET	131
SHMUEL	131
SERKAN	131
IZAAK	130
ANH	130
JAMAL	130
AKHMED	130
RAJAN	130
BALTAZAR	130
YURI	130
OFER	130
SALIM	130
FRANÇOIS	130
RAJNHOLD	129
ELNUR	129
MANOJ	129
ALEKSI	129
VLADLEN	129
ORHAN	129
SYED	128
RADOMIŁ	128
ELCHIN	128
DORIN	128
FABRIZIO	128
KONSTIANTYN	128
DEJAN	128
IMRAN	127
MIRKO	127
DEEPAK	127
IOSEB	126
ROŚCISŁAW	126
ZAKARIA	126
JAMIE	126
LUKASZ	125
EZEQUIEL	125
ILYAS	125
KARSTEN	125
MALIK	125
TOMIR	124
LIWIUSZ	124
RUSŁAN	124
ZVIADI	124
AIDEN	123
MATTHIEU	123
ENES	123
YEVHENIY	123
GÖKHAN	123
ERAZM	123
TUAN	122
JABA	122
HÜSEYIN	122
ADIL	122
REVAZ	121
SERGIEJ	121
MASON	121
UMAR	121
NELSON	121
TOMÁS	121
SYMEON	121
IULIAN	121
POLIKARP	120
FRÉDÉRIC	120
CARSTEN	120
KEMAL	120
FREDERIC	120
ELI	119
GARY	119
EREZ	119
BAHDAN	119
MARCELIN	119
ABEL	119
ALEN	118
OLES	118
ALEKSIEJ	118
GOGA	118
ALFREDO	117
TOMEK	117
DEREK	117
PER	117
VOLKER	117
SASCHA	117
FLAVIO	116
YONG	116
LÉO	116
ARI	116
NAZARIY	116
MEHDI	116
RENARD	116
ASSAF	116
MAURIZIO	116
TAMÁS	116
ALI	115
EUSTACHY	115
YARON	115
RAMZAN	115
ANIS	115
DEAN	115
SUNIL	115
FURKAN	114
ASEN	114
DANILO	114
YANIV	114
GONZALO	114
ABHISHEK	114
TORSTEN	114
RAJESH	114
KAMRAN	114
CHRISTOF	113
SHAMIL	113
ANZOR	113
SERGEJ	112
AVIV	112
SANTINO	112
HRYHORIY	112
DOR	112
TURAL	112
OLECH	112
NABIL	112
TOMISŁAW	111
JÁN	111
ILLYA	111
OLEXANDR	111
SEBASTIEN	111
NOLAN	111
LUDWIG	111
MICHAIL	111
GUILHERME	111
YAIR	111
OCTAVIAN	110
VAZHA	110
DANTE	110
PRAKASH	110
MANUCHAR	109
AUREL	109
ALEC	109
RAPHAËL	109
NICK	109
RASHAD	109
ARSENIUSZ	109
MATHEW	108
ADI	108
ITAI	108
ELLIOT	108
LÁSZLÓ	108
SELIM	108
RALPH	107
EUGENE	107
VITO	107
SANDEEP	107
ALWIN	107
SAM	106
CESAR	106
GERARDO	106
DUC	106
MAXWELL	106
FLORIN	106
BESIKI	105
ISTVÁN	105
SHAHAR	105
DATO	105
GRIGORII	105
HENRI	105
DORON	105
ANDRÉS	105
ZEEV	105
ELGUJA	105
HENADZ	105
ORFEUSZ	105
IOSIF	105
MAURICE	105
TARIEL	105
HAIM	105
MIRASLAU	105
YAKUP	104
RADZIMIR	104
JANEK	104
HOLGER	104
EREN	104
ESTEBAN	104
HAYK	104
JONI	104
AIDAN	104
BORYSŁAW	104
GEORGES	104
UMUT	104
ANDY	103
HECTOR	103
WOŁODYMYR	103
ODED	103
ARTURO	103
MACIEK	103
RAFIK	103
MALKHAZI	103
ARNO	103
LUKÁŠ	103
GAGIK	103
RAM	102
PANAGIOTIS	102
SHAI	102
MANSUR	102
SALOMON	102
FEDOR	102
ANDRANIK	102
NAREK	102
ARTYOM	102
SERDAR	101
MIKHEILI	101
MAXIMILIEN	101
LEONIDAS	101
TEMURI	101
WENDELIN	101
HELIODOR	100
RAJNER	100
HRISTO	100
HUGON	100
FREDERIK	100
TIBOR	100
VLAD	99
GIULIO	99
THIERRY	99
KONSTANTINE	99
KRASIMIR	99
BART	99
ARYAN	99
RONEN	99
VITTORIO	99
BO	99
DOMINICK	99
RENISŁAW	99
FRIEDRICH	99
MAXIMILIANO	98
NIKOLAJ	98
LEVON	98
VARDAN	98
IMEDA	98
ARNAUD	98
ARTAK	98
KENAN	98
ZOLTÁN	97
AMINE	97
GILAD	97
TIMOFEI	97
SYLWIN	97
ARTEMII	97
DETLEF	97
SAMSON	97
ALPER	97
VITALY	97
PÉTER	97
ERICK	96
KAAN	96
RONNY	96
MARTÍN	96
KIM	96
GENADI	96
ARIF	96
MARLON	96
ANATOLIJ	96
ZINOVIY	96
YOTAM	96
NUKRI	96
ANDERS	96
VUSAL	95
JIMMY	95
GÁBOR	95
SASZA	95
SINAN	95
RASIM	95
DARKO	95
YASSINE	95
YAKUB	95
HERMANN	94
OTARI	94
SAMER	94
STUART	94
KRISHNA	94
HEIKO	94
JAY	94
JACOPO	94
SANTOSH	93
RAFAL	93
OHAD	93
JERRY	93
EMZAR	93
OFIR	93
KAREL	93
LUIZ	93
FRANCOIS	93
ALEKSEY	92
JAKE	92
YASSIN	92
DOUGLAS	92
HALIL	92
SABA	92
MATHEUS	92
MATÍAS	92
SAMET	92
RAMON	92
STÉPHANE	92
NIKOŁAJ	92
OZAN	92
ARUN	91
CHEN	91
ROHIT	91
SIAMION	91
KADIR	91
MOJŻESZ	91
NUNO	91
JOAQUIN	91
MARTYNIAN	91
MAXYM	91
SUREN	91
KAY	91
VALERIAN	90
STANISLAS	90
MAHMUT	90
ELSHAN	90
VUGAR	90
WIRGILIUSZ	90
FAUSTYN	90
ROMAIN	90
AZAMAT	90
KANAN	90
MERABI	90
KEITH	90
TAMAZI	90
DARREN	90
HARTMUT	90
HOVHANNES	89
JESSE	89
METIN	89
NIELS	89
RINAT	89
BOJAN	89
ERNESTO	89
FADI	89
REGINALD	89
ANDRIEJ	89
HUSSEIN	88
BJÖRN	88
JAROGNIEW	88
STEPHANE	88
MINDIA	88
OWEN	88
GOGITA	88
HAI	88
VISHAL	88
DINESH	88
SOLOMON	88
ELVIS	88
QUENTIN	88
UDO	88
DROR	87
SALVADOR	87
WŁODZISŁAW	87
INGO	87
MUSLIM	87
XUAN	87
AGUSTIN	87
RADOSLAV	87
MAXIMUS	86
COLLIN	86
GRIGORI	86
RONI	86
NODARI	86
RUI	86
FILIPE	86
LUCIAN	86
YVES	86
RAVI	86
EDHAR	85
PETROS	85
CRAIG	85
NIMROD	85
YOUSEF	85
ZIV	85
THORSTEN	85
SULTAN	85
RADION	85
LUC	85
LEE	85
WIECZYSŁAW	85
WALERIJ	85
ZORIAN	85
ITZHAK	84
RASHID	84
THÉO	84
ANTONINO	84
GURAMI	84
STEVE	84
ANAS	84
ANDRÁS	84
ARJUN	84
RACHID	84
KHASAN	83
SOSO	83
ANDREJS	83
MILOSZ	83
ASHISH	83
JAYDEN	83
ZBISŁAW	83
AJAY	83
TAMIR	83
KHAMZAT	82
EMILIANO	82
HENRIQUE	82
SEMIR	82
MIRZA	82
GRIGOR	82
NGOC	82
GERWAZY	82
NADIR	82
ATANAS	82
GAURAV	82
GHEORGHI	82
NIKOLOZI	82
SERGEJS	82
BARIŞ	82
ELIOT	82
SAGAR	81
TAHIR	81
ALEKSANDRS	81
ITAN	81
ELMAR	81
KHALIL	81
RUMEN	81
ANATOLIUSZ	81
BRONISLAV	81
FABIEN	81
PASQUALE	81
WILLEM	81
EMRAH	81
WAEL	81
NENAD	81
ALIK	81
BERTHOLD	80
ULUGBEK	80
EDOARDO	80
RAMESH	80
EBERHARD	80
GORDON	80
CONOR	80
ŚWIATOSŁAW	79
SERGE	79
