values	weights
PUCHALSKA	3849
WŁODARSKA	3847
ZDUNEK	3842
SALAMON	3837
MAŃKOWSKA	3828
TOMALA	3828
MICHALCZYK	3823
KAPUSTA	3816
DUDZIAK	3814
KOTOWSKA	3814
MOLENDA	3805
TRZECIAK	3805
LIPKA	3800
SKOWRONEK	3800
FILIPOWICZ	3796
JANUSZEWSKA	3791
ADAMCZAK	3773
BUCZYŃSKA	3772
TOKARZ	3772
AUGUSTYN	3768
GŁOGOWSKA	3768
KAWA	3765
ADAMEK	3746
MAŚLANKA	3739
MROZEK	3736
KOBUS	3733
KOŁAKOWSKA	3733
NOGA	3730
KITA	3727
PIECHOTA	3727
ADAMUS	3724
KOPER	3723
ZIĘTEK	3707
KOGUT	3706
STOLARSKA	3703
JAGIELSKA	3696
KANIEWSKA	3694
PILCH	3688
GORCZYCA	3686
DOBRZYŃSKA	3680
BANASIK	3676
BĄKOWSKA	3670
KOZA	3669
ŻUK	3667
GRZESIK	3646
JURCZAK	3646
MALIK	3638
WARCHOŁ	3630
BUDZYŃSKA	3629
NIEMCZYK	3627
MACIĄG	3626
CHUDZIK	3625
PRZYBYŁ	3619
SOŁTYSIAK	3619
ROBAK	3614
NIEDŹWIECKA	3612
RUDZIŃSKA	3609
JARZĄBEK	3598
PORĘBSKA	3597
WIĄCEK	3590
SOJKA	3588
WYPYCH	3586
BUCZKOWSKA	3581
KALISZ	3581
STAŃCZAK	3580
MIŚKIEWICZ	3579
KUŹMA	3577
DRABIK	3564
ADAMOWICZ	3563
KŁOSOWSKA	3559
KASPEREK	3553
GADOMSKA	3545
STACHURSKA	3545
RUDNIK	3538
KOPACZ	3532
SURMA	3524
BARTNIK	3523
GOLEC	3514
DĄBKOWSKA	3511
BIAŁKOWSKA	3510
MARCHEWKA	3506
OLCZYK	3505
OSSOWSKA	3505
MOSKAL	3504
KIEŁBASA	3502
OLEKSY	3502
PIŁAT	3502
BŁASZCZAK	3496
KUCIŃSKA	3493
SZELĄG	3487
STACHOWICZ	3486
TRACZ	3482
MAGIERA	3480
WOLIŃSKA	3480
BALCERZAK	3470
KOS	3462
NIEDZIELSKA	3461
RYŚ	3461
KORZENIOWSKA	3454
BIELSKA	3450
BUDZIŃSKA	3449
JAROS	3445
ZABŁOCKA	3442
RYBARCZYK	3432
ADAMIAK	3427
DRÓŻDŻ	3427
GRUDZIEŃ	3425
PRUS	3423
WOJTKOWIAK	3423
RUDZKA	3417
SZYMKOWIAK	3417
RADECKA	3416
ŻYŁA	3412
PIOTROWICZ	3409
KOSOWSKA	3399
PIETRUSZKA	3392
ŚLĘZAK	3387
LESIAK	3381
KUJAWSKA	3377
TOMASIK	3375
SĘK	3374
FRĄTCZAK	3370
PELC	3368
WOŹNICA	3368
PAWLICKA	3366
KOSTECKA	3365
BURY	3361
SOBAŃSKA	3358
KOZIK	3357
WARZECHA	3357
TRELA	3356
URBANEK	3356
SEKUŁA	3355
CZERNIAK	3352
BIELIŃSKA	3350
HERMAN	3342
MILLER	3342
JURCZYK	3338
WOJTASIK	3331
KRAKOWSKA	3328
GŁĄB	3327
